,date,code,open,high,low,close,preclose,volume,amount,pctChg
90,2016-05-18,sh.000300,3071.5290,3072.6120,3039.4620,3068.0360,3086.0250,8271536900,88458847115.0000,-0.582900
91,2016-05-19,sh.000300,3060.3430,3086.9770,3058.1450,3062.5000,3068.0360,6044416600,68679060392.0000,-0.180400
92,2016-05-20,sh.000300,3047.7780,3078.5310,3041.5170,3078.2180,3062.5000,5608084200,65124251092.0000,0.513200
93,2016-05-23,sh.000300,3078.5150,3098.4780,3076.5040,3087.2220,3078.2180,5969721600,70337514484.0000,0.292500
94,2016-05-24,sh.000300,3083.2440,3083.2570,3052.5910,3063.5560,3087.2230,5873438500,61106015446.0000,-0.766600
95,2016-05-25,sh.000300,3079.7490,3089.1020,3054.8700,3059.2260,3063.5560,5665280300,63316562530.0000,-0.141300
96,2016-05-26,sh.000300,3056.6000,3072.5240,3027.4440,3064.2110,3059.2260,6039298100,65985183919.0000,0.162900
97,2016-05-27,sh.000300,3059.7320,3073.7560,3052.1790,3062.4990,3064.2110,6046875000,59371777079.0000,-0.055900
98,2016-05-30,sh.000300,3056.3140,3075.2610,3037.6650,3066.7090,3062.4990,6309857900,63496565009.0000,0.137500
99,2016-05-31,sh.000300,3068.5960,3170.9260,3068.5960,3169.5600,3066.7100,13886311100,151398175957.0000,3.353800
100,2016-06-01,sh.000300,3172.9620,3181.7920,3159.8170,3160.5470,3169.5600,11314848200,131700821152.0000,-0.284400
101,2016-06-02,sh.000300,3158.0260,3168.8240,3151.0650,3167.1000,3160.5470,8600342700,97093625345.0000,0.207300
102,2016-06-03,sh.000300,3172.9460,3201.7490,3162.0880,3189.3250,3167.1000,10149178300,136332027087.0000,0.701800
103,2016-06-06,sh.000300,3192.7790,3197.2200,3168.5540,3178.7880,3189.3260,7669375100,101176231366.0000,-0.330400
104,2016-06-07,sh.000300,3182.4380,3186.6170,3168.1790,3177.0540,3178.7880,6892831400,88711618425.0000,-0.054600
105,2016-06-08,sh.000300,3171.8130,3174.9720,3148.3520,3163.9860,3177.0540,7629177500,97682790861.0000,-0.411300
106,2016-06-13,sh.000300,3134.0450,3145.6060,3065.7670,3066.3410,3163.9860,9297594700,114091320004.0000,-3.086100
107,2016-06-14,sh.000300,3058.4430,3078.7500,3055.6550,3075.9830,3066.3410,6627945700,78622305350.0000,0.314400
108,2016-06-15,sh.000300,3043.9580,3128.6730,3042.2330,3116.3680,3075.9830,8739325700,106170177872.0000,1.312900
109,2016-06-16,sh.000300,3104.3620,3112.4760,3089.4780,3094.6750,3116.3680,8297470300,93496238871.0000,-0.696100
